year,state_fips,state_name,median_hh_income,poverty_population,poverty_below,poverty_rate,graduation_rate,per_pupil_spending
2013,53,Washington,58405.0,6836262,967282,14.15,78.2,10304.61601456556
2014,53,Washington,61366.0,6927889,913619,13.19,78.2,10683.53092196811
2015,53,Washington,64129.0,7036725,857801,12.19,79.7,11484.19785010533
2016,53,Washington,67106.0,7156306,805691,11.26,79.4,11970.55933271066
2017,53,Washington,70979.0,7273713,802159,11.03,86.7,12985.69906976702
2018,53,Washington,74073.0,7400557,759013,10.26,81.1,14341.84550908754
2019,53,Washington,78687.0,7470152,730240,9.78,83.0,14542.42266912886
2010,54,West Virginia,38218.0,1799960,326507,18.14,78.0,11977.89240982894
2011,54,West Virginia,38482.0,1802655,334885,18.58,79.0,11578.62727047761
2012,54,West Virginia,40196.0,1801131,320055,17.77,81.4,11263.90591568802
2013,54,West Virginia,41253.0,1798266,332347,18.48,84.5,11370.98810142441
2014,54,West Virginia,41059.0,1792949,327764,18.28,86.5,11511.96122863972
2015,54,West Virginia,42019.0,1793096,321583,17.93,89.8,11424.26129564754
2016,54,West Virginia,43385.0,1779919,319063,17.93,89.4,11744.62121195523
2017,54,West Virginia,43469.0,1762467,336301,19.08,90.2,11571.6837210669
2018,54,West Virginia,44097.0,1753476,312188,17.8,91.3,12269.25292936681
2019,54,West Virginia,48850.0,1739050,278734,16.03,92.1,12647.11156569988
2010,55,Wisconsin,49001.0,5535803,731479,13.21,87.0,11947.10549695513
2011,55,Wisconsin,50395.0,5554349,725797,13.07,88.0,11233.2237273265
2012,55,Wisconsin,51059.0,5573134,737356,13.23,88.0,11185.51945128354
2013,55,Wisconsin,51467.0,5593197,755551,13.51,88.6,11345.1636410213
2014,55,Wisconsin,52622.0,5603486,738270,13.18,88.4,11537.728162381
2015,55,Wisconsin,55638.0,5620223,677964,12.06,88.2,11664.02459552892
2016,55,Wisconsin,56811.0,5628565,661565,11.75,88.6,12103.83240208599
2017,55,Wisconsin,59305.0,5645194,639564,11.33,89.7,12445.52108328405
2018,55,Wisconsin,60773.0,5665153,625826,11.05,90.1,12689.97378548246
2019,55,Wisconsin,64168.0,5675557,591486,10.42,90.4,12793.52581599252
2010,56,Wyoming,53512.0,551120,61577,11.17,80.0,15814.67487305913
2011,56,Wyoming,56322.0,554314,62629,11.3,79.0,15987.94489902993
2012,56,Wyoming,54901.0,561445,71019,12.65,77.0,15814.85328541756
2013,56,Wyoming,58752.0,569307,62039,10.9,78.6,15903.39006484635
2014,56,Wyoming,57055.0,570149,63774,11.19,79.3,16047.41215303985
2015,56,Wyoming,60214.0,572319,63425,11.08,80.0,16431.27875671738
2016,56,Wyoming,59882.0,571169,64663,11.32,86.2,16512.85863863226
2017,56,Wyoming,60434.0,565242,64054,11.33,81.7,16134.00726728766
2018,56,Wyoming,61584.0,563374,62301,11.06,82.1,16227.51164738689
2019,56,Wyoming,65003.0,563528,56945,10.11,82.3,16665.12495772385
