year,state_fips,state_name,graduation_rate,per_pupil_spending,per_pupil_spending_2019,median_hh_income,median_hh_income_2019,poverty_rate,poverty_population,poverty_below
2018,40,Oklahoma,84.9,9203.377160386955,9370.14,51924.0,52864.85,15.61,3825027,596949
2019,40,Oklahoma,80.8,9395.308404348894,9395.31,54449.0,54449.0,15.18,3841763,583029
2010,41,Oregon,68.0,9515.854094827586,11156.74,46560.0,54588.68,15.84,3765919,596408
2011,41,Oregon,68.0,9484.68333075212,10779.93,46816.0,53209.26,17.46,3794213,662283
2012,41,Oregon,68.7,9571.771653710926,10658.34,49161.0,54741.65,17.21,3826398,658359
2013,41,Oregon,72.0,9958.542491773907,10928.93,50251.0,55147.6,16.67,3852871,642138
2014,41,Oregon,73.8,10456.77029623881,11292.52,51075.0,55157.14,16.55,3893475,644450
2015,41,Oregon,74.8,10823.20939544454,11674.39,54148.0,58406.42,15.36,3952077,607029
2016,41,Oregon,76.7,11252.03798447872,11985.74,57532.0,61283.46,13.35,4016520,536146
2017,41,Oregon,78.7,11902.7938827314,12414.46,60212.0,62800.34,13.24,4064467,537974
2018,41,Oregon,80.0,12457.04774207966,12682.77,63426.0,64575.26,12.56,4113142,516570
2019,41,Oregon,82.6,12838.05409663595,12838.05,67058.0,67058.0,11.38,4136542,470643
2010,42,Pennsylvania,83.0,13096.19844932537,15354.47,49288.0,57787.09,13.4,12298955,1648184
2011,42,Pennsylvania,84.0,13091.48898467028,14879.28,50228.0,57087.21,13.76,12328566,1695996
2012,42,Pennsylvania,85.5,13445.16628044704,14971.43,51230.0,57045.52,13.71,12353867,1693285
2013,42,Pennsylvania,85.3,13824.095841243,15171.16,52007.0,57074.71,13.68,12353256,1690405
2014,42,Pennsylvania,84.8,14404.86888294821,15556.17,53234.0,57488.7,13.6,12371337,1682212
2015,42,Pennsylvania,86.1,15165.31666622026,16357.98,55702.0,60082.64,13.16,12385716,1629995
2016,42,Pennsylvania,86.6,15781.85438759083,16810.93,56907.0,60617.7,12.87,12368256,1592045
2017,42,Pennsylvania,85.9,16376.78336457593,17080.77,59195.0,61739.62,12.49,12398112,1548720
2018,42,Pennsylvania,86.5,16891.58338923373,17197.65,60905.0,62008.58,12.25,12394000,1517870
2019,42,Pennsylvania,87.4,17171.60148552714,17171.6,63463.0,63463.0,12.02,12387178,1489333
2010,44,Rhode Island,77.0,14947.63824386444,17525.17,52254.0,61264.54,14.05,1012200,142188
2011,44,Rhode Island,77.0,15172.48508267182,17244.46,53636.0,60960.61,14.74,1009941,148819
2012,44,Rhode Island,79.7,14889.02525248981,16579.19,54554.0,60746.85,13.75,1010449,138907
2013,44,Rhode Island,80.8,15372.20606585545,16870.12,55902.0,61349.25,14.29,1010827,144446
2014,44,Rhode Island,83.2,15796.71254376263,17059.26,54891.0,59278.13,14.34,1015655,145596
2015,44,Rhode Island,82.8,16082.40743166166,17347.19,58073.0,62640.1,13.88,1016343,141035
2016,44,Rhode Island,84.1,16619.50410130145,17703.2,60596.0,64547.25,12.79,1015892,129932
2017,44,Rhode Island,84.0,16953.80234908953,17682.6,63870.0,66615.59,11.62,1018556,118367
2018,44,Rhode Island,83.9,17538.83428149139,17856.63,64340.0,65505.83,12.91,1016469,131205
2019,44,Rhode Island,83.6,17724.9365130227,17724.94,71169.0,71169.0,10.82,1018586,110244
2010,45,South Carolina,74.0,8907.61597629223,10443.62,42018.0,49263.47,18.15,4493865,815755
2011,45,South Carolina,75.0,9102.310107730347,10345.33,42367.0,48152.7,18.88,4538298,856938
2012,45,South Carolina,77.6,9443.517178035812,10515.52,43107.0,48000.41,18.27,4585454,837770
2013,45,South Carolina,80.1,9607.628071620062,10543.82,44163.0,48466.37,18.58,4631801,860380
2014,45,South Carolina,80.3,9830.74086577672,10616.46,45238.0,48853.62,17.99,4691589,843860
2015,45,South Carolina,82.6,10120.23768717266,10916.14,47238.0,50952.99,16.65,4750144,790715
2016,45,South Carolina,83.6,10424.7975636953,11104.56,49501.0,52728.78,15.27,4820419,735960
2017,45,South Carolina,81.0,10704.55930043073,11164.72,50570.0,52743.86,15.4,4882720,751907
2018,45,South Carolina,81.1,10994.24795423636,11193.46,52306.0,53253.77,15.27,4944754,755215
2019,45,South Carolina,82.2,11168.33098862722,11168.33,56227.0,56227.0,13.85,5003235,692744
2010,46,South Dakota,83.0,8931.42835849296,10471.54,45904.0,53819.56,14.43,788226,113760
2011,46,South Dakota,83.0,8593.4595831771,9767.0,48321.0,54919.79,13.92,794872,110681
2012,46,South Dakota,82.7,8629.726153704654,9609.35,48362.0,53851.95,13.41,804310,107846
2013,46,South Dakota,82.7,9035.99369699748,9916.49,48947.0,53716.54,14.17,815049,115454
2014,46,South Dakota,83.9,9103.130201443177,9830.69,50979.0,55053.47,14.17,824373,116843
2015,46,South Dakota,83.9,9335.117941498513,10069.27,53017.0,57186.48,13.75,829644,114071
2016,46,South Dakota,83.7,10117.43038253291,10777.15,54467.0,58018.6,13.25,837292,110962
2017,46,South Dakota,84.1,10263.46870261132,10704.67,56521.0,58950.67,13.0,838991,109099
2018,46,South Dakota,84.1,10325.09454218385,10512.18,56274.0,57293.67,13.1,852419,111626
2019,46,South Dakota,84.2,10392.37557252999,10392.38,59533.0,59533.0,11.93,854648,101946
2010,47,Tennessee,86.0,8330.15015261965,9766.58,41461.0,48610.43,17.68,6195120,1095466
2011,47,Tennessee,87.0,8348.14690710048,9488.18,41693.0,47386.66,18.29,6246380,1142299
2012,47,Tennessee,86.3,8587.52815411436,9562.37,42764.0,47618.47,17.94,6295994,1129330
2013,47,Tennessee,87.2,8662.444429906316,9506.54,44297.0,48613.43,17.79,6335295,1126772
2014,47,Tennessee,87.9,8776.078498204375,9477.5,44361.0,47906.53,18.34,6386663,1171307
2015,47,Tennessee,88.5,8876.032263155003,9574.08,47275.0,50992.9,16.74,6440381,1077900
2016,47,Tennessee,89.8,9246.172114157684,9849.08,48547.0,51712.58,15.77,6489032,1023177
2017,47,Tennessee,90.0,9599.412760100882,10012.06,51340.0,53546.96,14.95,6555389,980284
2018,47,Tennessee,90.5,9941.45570073758,10121.59,52375.0,53324.02,15.31,6603013,1011016
2019,47,Tennessee,90.4,9974.133263167852,9974.13,56071.0,56071.0,13.85,6656385,922176
2010,48,Texas,86.0,8684.515091126616,10182.05,48615.0,56998.04,17.91,24652927,4414481
2011,48,Texas,88.0,8212.75180413041,9334.3,49392.0,56137.04,18.46,25071125,4628758
2012,48,Texas,88.0,8284.533382214127,9224.98,50740.0,56499.89,17.93,25450518,4562352
2013,48,Texas,88.3,8601.696307431046,9439.87,51704.0,56742.19,17.54,25834229,4530039
2014,48,Texas,89.0,9081.028802592398,9806.83,53035.0,57273.79,17.17,26340247,4523708
2015,48,Texas,89.1,9351.674570124516,10087.13,55653.0,60029.78,15.85,26846203,4255517
2016,48,Texas,89.7,9519.674429553976,10140.42,56565.0,60253.4,15.65,27236443,4261337
2017,48,Texas,90.0,9651.958044122746,10066.87,59206.0,61751.09,14.73,27676343,4076905
2018,48,Texas,90.0,9868.208408400453,10047.02,60629.0,61727.58,14.89,28074573,4180675
2019,48,Texas,,10393.91559574029,10393.92,64034.0,64034.0,13.63,28361423,3865010
2010,49,Utah,76.0,6439.999221107975,7550.5,54744.0,64183.91,13.16,2730176,359242
2011,49,Utah,80.0,6311.886969968205,7173.85,55869.0,63498.55,13.53,2771344,374859
2012,49,Utah,83.0,6432.203918608007,7162.37,57049.0,63525.08,12.83,2806020,360017
2013,49,Utah,83.9,6545.689521808713,7183.52,59770.0,65594.16,12.67,2851587,361181
2014,49,Utah,84.8,6751.149923612716,7290.73,60922.0,65791.16,11.73,2897762,339900
2015,49,Utah,85.2,7006.483664932779,7557.5,62912.0,67859.66,11.26,2947861,331854
2016,49,Utah,86.0,7206.284784351645,7676.18,65977.0,70279.12,10.22,3004148,306902
2017,49,Utah,87.0,7576.209655021743,7901.89,68358.0,71296.51,9.71,3052633,296557
2018,49,Utah,87.4,7950.006280362347,8094.06,71414.0,72708.0,9.03,3110944,280773
2019,49,Utah,88.2,8286.64311356606,8286.64,75780.0,75780.0,8.91,3157996,281279
2010,50,Vermont,87.0,14707.17374919986,17243.24,49406.0,57925.44,12.71,600850,76352
2011,50,Vermont,88.0,16651.38847488544,18925.33,52776.0,59983.17,11.49,601236,69075
2012,50,Vermont,86.6,17285.86606266179,19248.12,52977.0,58990.83,11.82,601611,71084
2013,50,Vermont,87.8,18065.79923328448,19826.18,52578.0,57701.35,12.29,602538,74058
2014,50,Vermont,87.7,18768.76959375107,20268.85,54166.0,58495.19,12.15,601819,73149
2015,50,Vermont,87.7,19022.52288712357,20518.53,56990.0,61471.93,10.21,600659,61314
2016,50,Vermont,89.1,19480.49008232686,20750.74,57677.0,61437.91,11.89,600077,71329
2017,50,Vermont,85.1,20219.28167174081,21088.45,57513.0,59985.32,11.31,599862,67841
2018,50,Vermont,84.5,21217.42304246962,21601.88,60782.0,61883.36,10.98,601261,66013
2019,50,Vermont,83.1,22124.23932963727,22124.24,63001.0,63001.0,10.17,599030,60897
2010,51,Virginia,82.0,10362.82774164163,12149.77,60674.0,71136.46,11.08,7780635,861969
2011,51,Virginia,83.0,10655.66168475128,12110.81,61882.0,70332.7,11.53,7854282,905914
2012,51,Virginia,84.5,10959.68001744877,12203.8,61741.0,68749.7,11.74,7936903,931805
2013,51,Virginia,85.3,10955.38968932153,12022.91,62666.0,68772.36,11.72,8010544,938733
2014,51,Virginia,85.7,11234.70693020281,12132.63,64902.0,70089.26,11.8,8080300,953395
2015,51,Virginia,86.7,11434.88030290046,12334.17,66262.0,71473.12,11.18,8131328,909346
2016,51,Virginia,86.9,11885.26561856559,12660.26,68114.0,72555.47,10.99,8158241,896440
2017,51,Virginia,87.5,12223.57579239652,12749.03,71535.0,74610.08,10.64,8221024,874483
2018,51,Virginia,87.5,12641.88757429033,12870.96,72577.0,73892.08,10.7,8264095,884647
2019,51,Virginia,88.8,12941.31969711922,12941.32,76456.0,76456.0,9.94,8279357,822775
2010,53,Washington,76.0,9619.1103432881,11277.8,55631.0,65223.86,13.43,6615922,888718
2011,53,Washington,77.0,9604.073292630084,10915.62,56835.0,64596.47,13.9,6687073,929258
2012,53,Washington,76.4,9714.494898706278,10817.26,57573.0,64108.56,13.54,6761934,915278
2013,53,Washington,78.2,10304.61601456556,11308.73,58405.0,64096.15,14.15,6836262,967282
2014,53,Washington,78.2,10683.53092196811,11537.41,61366.0,66270.65,13.19,6927889,913619
2015,53,Washington,79.7,11484.19785010533,12387.36,64129.0,69172.37,12.19,7036725,857801
2016,53,Washington,79.4,11970.55933271066,12751.12,67106.0,71481.74,11.26,7156306,805691
2017,53,Washington,86.7,12985.69906976702,13543.92,70979.0,74030.18,11.03,7273713,802159
2018,53,Washington,81.1,14341.84550908754,14601.72,74073.0,75415.19,10.26,7400557,759013
2019,53,Washington,83.0,14542.42266912886,14542.42,78687.0,78687.0,9.78,7470152,730240
2010,54,West Virginia,78.0,11977.89240982894,14043.33,38218.0,44808.21,18.14,1799960,326507
2011,54,West Virginia,79.0,11578.62727047761,13159.82,38482.0,43737.16,18.58,1802655,334885
2012,54,West Virginia,81.4,11263.90591568802,12542.56,40196.0,44758.96,17.77,1801131,320055
2013,54,West Virginia,84.5,11370.98810142441,12479.01,41253.0,45272.81,18.48,1798266,332347
2014,54,West Virginia,86.5,11511.96122863972,12432.05,41059.0,44340.62,18.28,1792949,327764
2015,54,West Virginia,89.8,11424.26129564754,12322.71,42019.0,45323.55,17.93,1793096,321583
2016,54,West Virginia,89.4,11744.62121195523,12510.45,43385.0,46213.98,17.93,1779919,319063
2017,54,West Virginia,90.2,11571.6837210669,12069.12,43469.0,45337.61,19.08,1762467,336301
2018,54,West Virginia,91.3,12269.25292936681,12491.57,44097.0,44896.03,17.8,1753476,312188
2019,54,West Virginia,92.1,12647.11156569988,12647.11,48850.0,48850.0,16.03,1739050,278734
2010,55,Wisconsin,87.0,11947.10549695513,14007.23,49001.0,57450.6,13.21,5535803,731479
2011,55,Wisconsin,88.0,11233.2237273265,12767.25,50395.0,57277.02,13.07,5554349,725797
2012,55,Wisconsin,88.0,11185.51945128354,12455.27,51059.0,56855.1,13.23,5573134,737356
2013,55,Wisconsin,88.6,11345.1636410213,12450.67,51467.0,56482.09,13.51,5593197,755551
2014,55,Wisconsin,88.4,11537.728162381,12459.88,52622.0,56827.79,13.18,5603486,738270
2015,55,Wisconsin,88.2,11664.02459552892,12581.33,55638.0,60013.6,12.06,5620223,677964
2016,55,Wisconsin,88.6,12103.83240208599,12893.08,56811.0,60515.44,11.75,5628565,661565
2017,55,Wisconsin,89.7,12445.52108328405,12980.52,59305.0,61854.35,11.33,5645194,639564
2018,55,Wisconsin,90.1,12689.97378548246,12919.91,60773.0,61874.19,11.05,5665153,625826
2019,55,Wisconsin,90.4,12793.52581599252,12793.53,64168.0,64168.0,10.42,5675557,591486
2010,56,Wyoming,80.0,15814.67487305913,18541.72,53512.0,62739.47,11.17,551120,61577
2011,56,Wyoming,79.0,15987.94489902993,18171.28,56322.0,64013.41,11.3,554314,62629
2012,56,Wyoming,77.0,15814.85328541756,17610.12,54901.0,61133.24,12.65,561445,71019
2013,56,Wyoming,78.6,15903.39006484635,17453.06,58752.0,64476.96,10.9,569307,62039
2014,56,Wyoming,79.3,16047.41215303985,17329.99,57055.0,61615.09,11.19,570149,63774
2015,56,Wyoming,80.0,16431.27875671738,17723.5,60214.0,64949.48,11.08,572319,63425
2016,56,Wyoming,86.2,16512.85863863226,17589.6,59882.0,63786.69,11.32,571169,64663
2017,56,Wyoming,81.7,16134.00726728766,16827.56,60434.0,63031.88,11.33,565242,64054
2018,56,Wyoming,82.1,16227.51164738689,16521.55,61584.0,62699.89,11.06,563374,62301
2019,56,Wyoming,82.3,16665.12495772385,16665.12,65003.0,65003.0,10.11,563528,56945
