year,state_name,graduation_rate
2016,Maine,86.9
2017,Maine,86.7
2018,Maine,87.4
2019,Maine,87.4
2010,Maryland,83.0
2011,Maryland,84.0
2012,Maryland,85.0
2013,Maryland,86.4
2014,Maryland,87.0
2015,Maryland,87.6
2016,Maryland,87.7
2017,Maryland,87.1
2018,Maryland,86.9
2019,Maryland,86.8
2010,Massachusetts,83.0
2011,Massachusetts,85.0
2012,Massachusetts,85.0
2013,Massachusetts,86.1
2014,Massachusetts,87.3
2015,Massachusetts,87.5
2016,Massachusetts,88.3
2017,Massachusetts,87.8
2018,Massachusetts,88.0
2019,Massachusetts,89.0
2010,Michigan,74.0
2011,Michigan,76.0
2012,Michigan,77.0
2013,Michigan,78.6
2014,Michigan,79.8
2015,Michigan,79.7
2016,Michigan,80.2
2017,Michigan,80.6
2018,Michigan,81.4
2019,Michigan,82.1
2010,Minnesota,77.0
2011,Minnesota,78.0
2012,Minnesota,79.8
2013,Minnesota,81.2
2014,Minnesota,81.9
2015,Minnesota,82.2
2016,Minnesota,82.7
2017,Minnesota,83.2
2018,Minnesota,83.7
2019,Minnesota,83.8
2010,Mississippi,75.0
2011,Mississippi,75.0
2012,Mississippi,75.5
2013,Mississippi,77.6
2014,Mississippi,80.80000000000001
2015,Mississippi,82.3
2016,Mississippi,83.0
2017,Mississippi,84.0
2018,Mississippi,85.0
2019,Mississippi,87.7
2010,Missouri,81.0
2011,Missouri,84.0
2012,Missouri,85.7
2013,Missouri,87.3
2014,Missouri,87.8
2015,Missouri,89.0
2016,Missouri,88.3
2017,Missouri,89.2
2018,Missouri,89.7
2019,Missouri,89.5
2010,Montana,82.0
2011,Montana,84.0
2012,Montana,84.4
2013,Montana,85.4
2014,Montana,86.0
2015,Montana,85.6
2016,Montana,85.8
2017,Montana,86.4
2018,Montana,86.6
2019,Montana,85.9
2010,Nebraska,86.0
2011,Nebraska,88.0
2012,Nebraska,88.5
2013,Nebraska,89.7
2014,Nebraska,88.9
2015,Nebraska,89.3
2016,Nebraska,89.1
2017,Nebraska,88.7
2018,Nebraska,88.4
